id,name,slug,type,address,city_id,lat,lng,is_open,is_nfc,cash_in,working_weekends,is_digital,work_hours_week,work_hours_saturday,work_hours_sunday,notes
1240,Danyeri AVM,danyeri-avm,A,"Danyeri AVM, Ə.Əliyev küçəsi 46",45,39.21264,45.42209,1,0,0,0,0,,,,
1241,Park AVM,park-avm,A,"Park AVM, Nizami küçəsi 27",45,39.20893,45.40637,1,0,0,0,0,,,,
1242,Cahan MMC Ticarət Mərkəzi,cahan-mmc,A,"Cahan MMC Ticarət Mərkəzi, Ə. Əliyev küçəsi 10",45,39.20627,45.42477,1,0,0,0,0,,,,
1243,Cahan - Alış Veriş Mərkəzi MMC,cahan-alish-verish,A,"Cahan, Ə.Əliyev küçəsi. 2",45,39.19513,45.42963,1,0,0,0,0,,,,
1244,"Bolmart, Sumqayıt",bolmart-sumqayit,A,"Bolmart, Sumqayıt yolu, Saray postu",1,40.5221,49.68911,1,0,0,0,0,,,,
1245,"Favorit Market, Binəqədi",favorit-market-binagadi,A,"Favorit Market, Binəqədi rayonu, Gülməmməd Ramazanov küçəsi",1,40.46602,49.82931,1,0,0,0,0,,,,
1246,"Araz Market, Əliabad qəsəbəsi",araz-market-aliabad,A,"Araz Market, Əliabad qəsəbəsi",68,41.48846,46.62327,1,0,0,0,0,,,,
1247,"Araz Market, 7ci mikrorayon",araz-market-7-mikrorayon,A,"Araz Market, Binəqədi rayonu,7 mikrorayon, 3123-cü məhəllə",1,40.43319,49.85102,1,0,0,0,0,,,,
1248,"Araz Market, 7ci mikrorayon 2",araz-market-7-mikrorayon-2,A,"Araz Market, Binəqədi rayonu, F.Məlikov küçəsi 18a",1,40.42901,49.85392,1,0,0,0,0,,,,
1249,Ailəvi market,ailevi-market,A,"Ailəvi market,  M. Əzizbəyov küçəsi 10",29,39.86088,48.06326,1,0,0,0,0,,,,
1250,"Araz Market, 7ci mikrorayon 3",araz-market-7-mikrorayon-3,A,"Araz Market, 7-ci mikrorayon, S.S.Axundov küçəsi. 3C",1,40.42686,49.85,1,0,0,0,0,,,,
1251,"Araz Market, 8ci mikrorayon",araz-market-8-microrayon,A,"Araz Market, 8-ci mikrorayon İbrahimpaşa Dadaşov küçəsi 91",1,40.42489,49.84294,1,0,0,0,0,,,,
1252,"Araz Market, 1ci mikrorayon",araz-market-1-microdistrict,A,"Araz Market, Nəsimi rayonu, Memmed Cefer küçəsi",1,40.42035,49.8095,1,0,0,0,0,,,,
1253,"Araz Market, Cəfər Cabbarov",araz-market-jafar-jabbarli,A,"Araz Market, Nəsimi rayonu, Vladislav Plotnikov küçəsi",1,40.38521,49.84448,1,0,0,0,0,,,,
1254,GrandMart,grandmart,A,"GrandMart, Səməd Vurgun 34 küçəsi",1,40.37631,49.84188,1,0,0,0,0,,,,
1255,AvroMart,avtomart,A,"AvroMart, Nəsimi rayonu, Nizami küçəsi 129e",1,40.37716,49.85501,1,0,0,0,0,,,,
1256,Bolmart Super Market,bolmart-super-market,A,"Bolmart Super Market, Binəqədi rayonu M.Cəlal küçəsi 314",1,40.42128,49.81493,1,0,0,0,0,,,,
1257,Dəniz Market,deniz-market,A,"Dəniz Market, T.Ələkbərov 1",62,39.94302,48.93161,1,0,0,0,0,,,,
1258,"Araz Market, Nizami",araz-market-nizami,A,"Araz Market, Nəsimi rayonu, Əlibəy Hüseynzadə küçəsi 84",1,40.38077,49.83456,1,0,0,0,0,,,,
1259,"Spar, Nəsimi",spar-nasimi,A,"Spar, Nəsimi rayonu, Səməd Vurğun küçəsi 19",1,40.37489,49.84148,1,0,0,0,0,,,,
1260,"Spar, 3cü mikrorayon",spar-3-microrayon,A,"Spar, Nəsimi rayonu Cavadxan küçəsi 3",1,40.40636,49.81385,1,0,0,0,0,,,,
1261,Billur Market,billur-market,A,"Billur Market, Nizami küçəsi 35",68,41.63176,46.6507,1,0,0,0,0,,,,
1262,"Favorit Market, N.Nərimanov",favorit-market-alizade,A,"Favorit Market, Nərimanov rayonu M.Əlizadə küçəsi 917 - ci məhəllə",1,40.40177,49.84077,1,0,0,0,0,,,,
1263,"Elşən market, Qaragüney kəndi",elshan-market,A,"Elşən market, Qaragüney kəndi",50,39.96365,48.84802,1,0,0,0,0,,,,
1264,"Spar, Gənclik",spar-ganclik,A,"Spar, Nərimanov rayonu, 865 - ci məhəllə, Koroğlu Rəhimov küçəsi 22C",1,40.39044,49.84751,1,0,0,0,0,,,,
1265,"Araz Market, Şamaxı",araz-market-shamaxi,A,"Araz Market, Nəriman Nərimanov rayonu Ə.Əliyev küçəsi 26-cı məhəllə",1,40.40213,49.87913,1,0,0,0,0,,,,
1266,"Araz Market, Nəriman Nərimanov",araz-market-nariman-narimanov,A,"Araz Market, Nərimanov rayonu 1936-cı məhəllə Ağa Neymətulla",1,40.40212,49.87422,1,0,0,0,0,,,,
1267,XL Market,xl-market,A,"XL Market, Bərgüşad yolu",22,40.63562,47.75871,1,0,0,0,0,,,,
1268,"GrandMart Supermarket, Neftçilər",grandmart-supermarket-neftchilar,A,"GrandMart Supermarket, Qara Qarayev prospekti 46",1,40.41417,49.93985,1,0,0,0,0,,,,
1269,"GrandMart, Zabrat",grandmart-zabrat,A,"GrandMart, Zabrat qəsəbəsi, Zabrat dairəsi",1,40.49136,49.95456,1,0,0,0,0,,,,
1270,"Bolmart, Neftçilər",bolmart-neftchilar,A,"Bolmart, Rüstəm Rüstəmov küçəsi 23",1,40.40836,49.9387,1,0,0,0,0,,,,
1271,"Bolmart, Zabrat",bolmart-zabrat,A,"Bolmart, Zabrat qəsəbəsi, Montin küçəsi 21",1,40.49166,49.95307,1,0,0,0,0,,,,
1272,"Grandmart, Yeni Yasamal",grandmart-yeni-yasamal,A,"GrandMart, Bakı rayonu İlqar Abbasov küçəsi 7a",1,40.37585,49.92769,1,0,0,0,0,,,,
1273,"Grandmart, Kubinka",grandmart-kubinka,A,"GrandMart, S.Vurğun küçəsi 6 .6 mikrorayon",55,40.57922,49.69366,1,0,0,0,0,,,,
1274,"Araz, Xalqlar Dostluğu",araz-xalqlar-dostlugu,A,"Araz, Nizami rayonu, Bəhruz Nuriyev ev. 32, 2-ci blok 1 ci Mərtəbə",1,40.40212,49.95533,1,0,0,0,0,,,,
1275,"Grandmart, Bakixanov",grandmart-bakixanov,A,"GrandMart, B. Bünyadov küçəsi 134",1,40.42752,49.93948,1,0,0,0,0,,,,
1276,GrandMart 2,grandmart-2,A,"GrandMart, Yasamal rayonu, 589-cu məhəllə H. Məcidov küçəsi.",1,40.38358,49.81011,1,0,0,0,0,,,,
1277,"Bolmart, 20 Yanvar",bolmart-20-yanvar,A,"Bolmart, Yasamal rayonu, A. Salamzadə küçəsi 1058",1,40.39866,49.81619,1,0,0,0,0,,,,
1278,"Bolmart, Kubinka",bolmart-kubinka,A,"Bolmart, Nəsimi rayonu, S.Vurğun küçəsi 75",1,40.38371,49.83799,1,0,0,0,0,,,,
1279,"Bolmart, Mehdiabad qəsəbəsi",bolmart-mehdiabad,A,"Bolmart, Abşeron rayonu, Mehdiabad qəsəbəsi",1,40.50096,49.85618,1,0,0,0,0,,,,
1280,Myshops,myshops,A,"Myshops, Azadlıq prospekti 18",1,40.3785,49.84793,1,0,0,0,0,,,,
1281,Mini Market,mini-market,A,"Mini Market, Gəncə prospekti 20A",1,40.36823,49.96003,1,0,0,0,0,,,,
