name,branch_id,address,latitude,longitude,distance_km
OBA-NEFTCHILER 12,OBA-NEFTCHILER 12,OBA-NEFTCHILER 12,40.4032940975452,49.94041,3.2
OBA-BAKIXANOV 27,OBA-BAKIXANOV 27,OBA-BAKIXANOV 27,40.423443,49.9531121,3.23
OBA-EMIRCAN 3,OBA-EMIRCAN 3,OBA-EMIRCAN 3,40.4300840975452,49.986865,3.25
OBA-BAKIXANOV 18,OBA-BAKIXANOV 18,OBA-BAKIXANOV 18,40.4292930975452,49.964536,3.29
OBA-KOHNE GUNESLI 7,OBA-KOHNE GUNESLI 7,OBA-KOHNE GUNESLI 7,40.3727730975452,49.967601,3.33
OBA-HEZI ASLANOV 4,OBA-HEZI ASLANOV 4,OBA-HEZI ASLANOV 4,40.3773390975452,49.954849,3.34
OBA-NEFTCHILER 21,OBA-NEFTCHILER 21,OBA-NEFTCHILER 21,40.412444,49.941222,3.35
OBA-NEFTCHILER 10,OBA-NEFTCHILER 10,OBA-NEFTCHILER 10,40.4157110975452,49.943165,3.35
OBA-HEZI ASLANOV 12,OBA-HEZI ASLANOV 12,OBA-HEZI ASLANOV 12,40.3785310975452,49.952069,3.38
OBA-NEFTCHILER 11,OBA-NEFTCHILER 11,OBA-NEFTCHILER 11,40.4026030975452,49.93779,3.42
OBA-EHMEDLI 13,OBA-EHMEDLI 13,OBA-EHMEDLI 13,40.3854330975452,49.943767,3.42
OBA-NEFTCHILER 6,OBA-NEFTCHILER 6,OBA-NEFTCHILER 6,40.4082610975452,49.938307,3.46
OBA-BULBULE 2,OBA-BULBULE 2,OBA-BULBULE 2,40.433115700165,49.9751790075765,3.52
OBA-XEZER 5,OBA-XEZER 5,OBA-XEZER 5,40.3728000975452,49.95925,3.58
OBA-BULBULE,OBA-BULBULE,OBA-BULBULE,40.4351420975452,49.978077,3.73
OBA-BAKIXANOV 24,OBA-BAKIXANOV 24,OBA-BAKIXANOV 24,40.4326311952481,49.9601562127882,3.77
OBA-QARAYEV 8,OBA-QARAYEV 8,OBA-QARAYEV 8,40.4158310975452,49.937704,3.78
OBA-ZIG 2,OBA-ZIG 2,OBA-ZIG 2,40.3694410975452,49.993309,3.8
OBA-HEZI ASLANOV 13,OBA-HEZI ASLANOV 13,OBA-HEZI ASLANOV 13,40.3709570975452,49.957566,3.83
OBA-BAKIXANOV 19,OBA-BAKIXANOV 19,OBA-BAKIXANOV 19,40.4314380975452,49.955583,3.83
OBA-HEZI ASLANOV 16,OBA-HEZI ASLANOV 16,OBA-HEZI ASLANOV 16,40.3712982347527,49.9557734134745,3.86
OBA-QARAYEV 2,OBA-QARAYEV 2,OBA-QARAYEV 2,40.4200460975452,49.939092,3.89
OBA-KOHNE GUNESLI 2,OBA-KOHNE GUNESLI 2,OBA-KOHNE GUNESLI 2,40.3680960975452,49.964568,3.9
OBA-DEDE QORQUD,OBA-DEDE QORQUD,OBA-DEDE QORQUD,40.3876690975452,50.020767,3.92
OBA-KOHNE GUNESHLI 21,OBA-KOHNE GUNESHLI 21,OBA-KOHNE GUNESHLI 21,40.3669738105746,49.9669882816547,3.96
OBA-HEZI ASLANOV 11,OBA-HEZI ASLANOV 11,OBA-HEZI ASLANOV 11,40.3716240975452,49.952795,3.96
OBA-HEZI ASLANOV 19,OBA-HEZI ASLANOV 19,OBA-HEZI ASLANOV 19,40.3693733708793,49.9554336626965,4.07
OBA-HEZI ASLANOV 15,OBA-HEZI ASLANOV 15,OBA-HEZI ASLANOV 15,40.3708324946007,49.9518023306419,4.08
ZIG 4,ZIG 4,ZIG 4,40.3648543104731,49.9830584828591,4.1
OBA-BAKIXANOV 14,OBA-BAKIXANOV 14,OBA-BAKIXANOV 14,40.4357380975452,49.958121,4.16
OBA-KOHNE GUNESLI 5,OBA-KOHNE GUNESLI 5,OBA-KOHNE GUNESLI 5,40.3659160975452,49.96295,4.17
OBA-HEZI ASLANOV 3,OBA-HEZI ASLANOV 3,OBA-HEZI ASLANOV 3,40.3726140975452,49.946723,4.18
OBA-EMIRCAN 10,OBA-EMIRCAN 10,OBA-EMIRCAN 10,40.4374174805836,49.9940341423259,4.21
OBA-RADIOZAVOD,OBA-RADIOZAVOD,OBA-RADIOZAVOD,40.3756660975452,49.940498,4.3
OBA-KOHNE GUNESLI 9,OBA-KOHNE GUNESLI 9,OBA-KOHNE GUNESLI 9,40.3638280975452,49.966278,4.32
OBA-DEDE QORQUD 2,OBA-DEDE QORQUD 2,OBA-DEDE QORQUD 2,40.3878546538082,50.0259892711638,4.33
OBA-QARAYEV 3,OBA-QARAYEV 3,OBA-QARAYEV 3,40.4190550975452,49.932027,4.36
OBA-KOHNE GUNESHLI 19,OBA-KOHNE GUNESHLI 19,OBA-KOHNE GUNESHLI 19,40.3630177108567,49.9685539412356,4.36
OBA-QARAYEV 7,OBA-QARAYEV 7,OBA-QARAYEV 7,40.4159820975452,49.930096,4.37
OBA-RAMANA 11,OBA-RAMANA 11,OBA-RAMANA 11,40.4418280975452,49.976785,4.48
OBA- SABUNCU 20,OBA- SABUNCU 20,OBA- SABUNCU 20,40.439868879742,49.9610832999999,4.5
OBA-BAKIXANOV 26,OBA-BAKIXANOV 26,OBA-BAKIXANOV 26,40.430639,49.941028,4.51
OBA-ZIG 1,OBA-ZIG 1,OBA-ZIG 1,40.3606480975452,49.979805,4.55
OBA-HEZI ASLANOV 7,OBA-HEZI ASLANOV 7,OBA-HEZI ASLANOV 7,40.3644340975452,49.955034,4.57
OBA-RADIOZAVOD 4,OBA-RADIOZAVOD 4,OBA-RADIOZAVOD 4,40.3678960975452,49.946947,4.59
OBA-HEZI ASLANOV 20,OBA-HEZI ASLANOV 20,OBA-HEZI ASLANOV 20,40.363139,49.956167,4.66
OBA-XEZER 4,OBA-XEZER 4,OBA-XEZER 4,40.3617370975452,49.960613,4.67
OBA-HEZI ASLANOV 18,OBA-HEZI ASLANOV 18,OBA-HEZI ASLANOV 18,40.3630936613709,49.9555119067238,4.69
OBA-RADIOZAVOD 6,OBA-RADIOZAVOD 6,OBA-RADIOZAVOD 6,40.3653415435623,49.9491881577208,4.72
OBA-KOHNE GUNESHLI 18,OBA-KOHNE GUNESHLI 18,OBA-KOHNE GUNESHLI 18,40.3600318922727,49.9662432868676,4.73
OBA-QARAYEV,OBA-QARAYEV,OBA-QARAYEV,40.4232300975452,49.930076,4.73
OBA-NARGILE 4,OBA-NARGILE 4,OBA-NARGILE 4,40.3705300975452,49.939367,4.77
OBA-QARAYEV 9,OBA-QARAYEV 9,OBA-QARAYEV 9,40.4205770975452,49.927492,4.78
OBA-KOHNE GUNESHLI 22,OBA-KOHNE GUNESHLI 22,OBA-KOHNE GUNESHLI 22,40.3590303960873,49.9696364369458,4.79
OBA-NARGILE 6,OBA-NARGILE 6,OBA-NARGILE 6,40.3681389629878,49.9424078269898,4.8
